Name,Speed,Spin,Control,Power,Level,Price,Grips,Description,Image_URL
JOOLA Carbon X Pro,80,79,40,80,Advanced,55.13,"FL,ST","Write a 2-3 sentence description here for SEO.",
JOOLA Infinity Carbon,86,78,69,84,Advanced,124.13,FL,"Write a 2-3 sentence description here for SEO.",
JOOLA Match Pro,74,70,82,72,Beginner,27.53,FL,"Write a 2-3 sentence description here for SEO.",
Butterfly B302FL,56,50,84,55,Beginner,34.27,FL,"Write a 2-3 sentence description here for SEO.",
Butterfly 401,64,60,80,60,Beginner,52.43,FL,"Write a 2-3 sentence description here for SEO.",
DHS 9002,87,86,70,86,Advanced,115.91,FL,"Write a 2-3 sentence description here for SEO.",
DHS 5002,78,80,76,76,Intermediate,82.79,FL,"Write a 2-3 sentence description here for SEO.",
