"Racket_Name","Racket_Speed","Racket_Spin","Racket_Control","Racket_Power","Racket_Level","Racket_Price","Racket_Grip","Racket_Description","Racket_Image","Racket_Brand"
"JOOLA Carbon X Pro","80","79","40","80","Advanced","55.13","FL, ST","Professional racket description coming soon","","JOOLA"
"JOOLA Infinity Carbon","86","78","69","84","Advanced","124.13","FL","Professional racket description coming soon","","JOOLA"
"JOOLA Match Pro","74","70","82","72","Beginner","27.53","FL","Professional racket description coming soon","","JOOLA"
"Butterfly B302FL","56","50","84","55","Beginner","34.27","FL","Professional racket description coming soon","","Butterfly"
"Butterfly 401","64","60","80","60","Beginner","52.43","FL","Professional racket description coming soon","","Butterfly"
"DHS 9002","87","86","70","86","Advanced","115.91","FL","Professional racket description coming soon","","DHS"
"DHS 5002","78","80","76","76","Intermediate","82.79","FL","Professional racket description coming soon","","DHS"
